round,client_id,class_id,group,samples,before_la,after_la,la_gain,positive_gain,harm,accuracy_change_pp
30,0,0,non_tail,1,0.004494565073400736,0.004546661861240864,-5.2096787840127945e-05,0.0,5.2096787840127945e-05,0.0
30,0,2,non_tail,5,0.2694593846797943,0.2673823446035385,0.0020770400762558094,0.0020770400762558094,0.0,0.0
30,0,4,non_tail,1,0.793377697467804,0.8081419467926025,-0.014764249324798584,0.0,0.014764249324798584,0.0
30,0,5,non_tail,1,0.10583219677209854,0.10960669815540314,-0.003774501383304596,0.0,0.003774501383304596,0.0
30,0,8,non_tail,1,0.0003965306677855551,0.0003871168300975114,9.413837688043714e-06,9.413837688043714e-06,0.0,0.0
30,0,15,non_tail,1,0.0008235162240453064,0.0008002892718650401,2.322695218026638e-05,2.322695218026638e-05,0.0,0.0
30,0,37,non_tail,1,0.00880974717438221,0.008740618824958801,6.912834942340851e-05,6.912834942340851e-05,0.0,0.0
30,0,55,non_tail,1,0.759436845779419,0.7759038805961609,-0.016467034816741943,0.0,0.016467034816741943,0.0
30,0,60,non_tail,1,1.690930962562561,1.6933648586273193,-0.0024338960647583008,0.0,0.0024338960647583008,0.0
30,0,66,non_tail,1,0.016093706712126732,0.015917262062430382,0.0001764446496963501,0.0001764446496963501,0.0,0.0
30,0,69,non_tail,1,1.323277235031128,1.2891845703125,0.03409266471862793,0.03409266471862793,0.0,0.0
30,0,74,non_tail,1,4.179756164550781,4.157471179962158,0.022284984588623047,0.022284984588623047,0.0,0.0
30,0,81,tail,1,6.2186665534973145,6.209414482116699,0.009252071380615234,0.009252071380615234,0.0,0.0
30,0,83,tail,1,0.7701370716094971,0.7736076712608337,-0.00347059965133667,0.0,0.00347059965133667,0.0
30,1,0,non_tail,3,0.003296754031907767,0.0033130586380138993,-1.630460610613227e-05,0.0,1.630460610613227e-05,0.0
30,1,1,non_tail,1,0.06545904278755188,0.06537864357233047,8.039921522140503e-05,8.039921522140503e-05,0.0,0.0
30,1,7,non_tail,6,0.8043684760729471,0.7953033447265625,0.009065131346384647,0.009065131346384647,0.0,0.0
30,1,24,non_tail,1,1.0511201620101929,1.045546531677246,0.005573630332946777,0.005573630332946777,0.0,0.0
30,1,28,non_tail,1,0.0056584421545267105,0.005487142130732536,0.0001713000237941742,0.0001713000237941742,0.0,0.0
30,1,30,non_tail,1,0.21945777535438538,0.22456637024879456,-0.00510859489440918,0.0,0.00510859489440918,0.0
30,1,46,non_tail,1,1.808260202407837,1.7940499782562256,0.014210224151611328,0.014210224151611328,0.0,0.0
30,1,53,non_tail,2,0.5735693126916885,0.5630507469177246,0.010518565773963928,0.010518565773963928,0.0,0.0
30,1,86,tail,1,3.5414299964904785,3.5107688903808594,0.03066110610961914,0.03066110610961914,0.0,0.0
30,2,0,non_tail,1,0.0008607972995378077,0.0008718741592019796,-1.1076859664171934e-05,0.0,1.1076859664171934e-05,0.0
30,2,3,non_tail,2,1.1193716526031494,1.1330373287200928,-0.01366567611694336,0.0,0.01366567611694336,0.0
30,2,5,non_tail,4,0.11656341215712018,0.11852959569660015,-0.001966183539479971,0.0,0.001966183539479971,0.0
30,2,6,non_tail,2,0.007191890385001898,0.0072809928096830845,-8.910242468118668e-05,0.0,8.910242468118668e-05,0.0
30,2,10,non_tail,2,2.034240633249283,2.0257013738155365,0.008539259433746338,0.008539259433746338,0.0,0.0
30,2,16,non_tail,1,2.6169300079345703,2.6355364322662354,-0.01860642433166504,0.0,0.01860642433166504,0.0
30,2,22,non_tail,2,0.8428381085395813,0.8409309387207031,0.0019071698188781738,0.0019071698188781738,0.0,0.0
30,2,42,non_tail,1,4.023369789123535,4.054470539093018,-0.031100749969482422,0.0,0.031100749969482422,0.0
30,2,77,non_tail,1,5.462706089019775,5.467347621917725,-0.004641532897949219,0.0,0.004641532897949219,0.0
30,2,82,tail,1,0.06663308292627335,0.06215225160121918,0.004480831325054169,0.004480831325054169,0.0,0.0
30,2,91,tail,1,0.49763578176498413,0.4990532100200653,-0.0014174282550811768,0.0,0.0014174282550811768,0.0
30,2,95,tail,1,3.90177583694458,3.867335081100464,0.03444075584411621,0.03444075584411621,0.0,0.0
30,3,2,non_tail,1,2.167591094970703,2.1729941368103027,-0.005403041839599609,0.0,0.005403041839599609,0.0
30,3,3,non_tail,1,0.04359102249145508,0.044040799140930176,-0.00044977664947509766,0.0,0.00044977664947509766,0.0
30,3,6,non_tail,4,0.2693571550771594,0.2654774577822536,0.0038796972949057817,0.0038796972949057817,0.0,0.0
30,3,12,non_tail,3,0.8558400869369507,0.8456267416477203,0.010213345289230347,0.010213345289230347,0.0,0.0
30,3,14,non_tail,1,0.005559696350246668,0.005396323278546333,0.00016337307170033455,0.00016337307170033455,0.0,0.0
30,3,20,non_tail,1,0.00033182359766215086,0.000325388420606032,6.435177056118846e-06,6.435177056118846e-06,0.0,0.0
30,3,31,non_tail,1,0.010235320776700974,0.009972628206014633,0.00026269257068634033,0.00026269257068634033,0.0,0.0
30,3,36,non_tail,1,0.06103495508432388,0.0605895034968853,0.0004454515874385834,0.0004454515874385834,0.0,0.0
30,3,45,non_tail,1,0.6994077563285828,0.6770367622375488,0.022370994091033936,0.022370994091033936,0.0,0.0
30,3,77,non_tail,1,3.4162778854370117,3.3849287033081055,0.03134918212890625,0.03134918212890625,0.0,0.0
30,3,79,non_tail,1,7.912341117858887,7.916160583496094,-0.0038194656372070312,0.0,0.0038194656372070312,0.0
30,3,90,tail,1,0.14684681594371796,0.14396953582763672,0.002877280116081238,0.002877280116081238,0.0,0.0
30,3,94,tail,1,0.0066444179974496365,0.006580824498087168,6.359349936246872e-05,6.359349936246872e-05,0.0,0.0
30,4,1,non_tail,2,0.03469700459390879,0.03470495715737343,-7.952563464641571e-06,0.0,7.952563464641571e-06,0.0
30,4,2,non_tail,1,1.0031580924987793,0.9926232099533081,0.010534882545471191,0.010534882545471191,0.0,0.0
30,4,3,non_tail,1,3.753031015396118,3.8007736206054688,-0.047742605209350586,0.0,0.047742605209350586,0.0
30,4,4,non_tail,2,0.3391512781381607,0.3468584269285202,-0.007707148790359497,0.0,0.007707148790359497,0.0
30,4,5,non_tail,1,0.0031297055538743734,0.0030295210890471935,0.00010018446482717991,0.00010018446482717991,0.0,0.0
30,4,9,non_tail,1,0.06661245226860046,0.062036409974098206,0.004576042294502258,0.004576042294502258,0.0,0.0
30,4,11,non_tail,2,0.1831834279000759,0.18568066880106926,-0.002497240900993347,0.0,0.002497240900993347,0.0
30,4,17,non_tail,1,0.018044831231236458,0.017691312357783318,0.00035351887345314026,0.00035351887345314026,0.0,0.0
30,4,20,non_tail,2,0.0008290722616948187,0.000808176351711154,2.089590998366475e-05,2.089590998366475e-05,0.0,0.0
30,4,24,non_tail,1,0.20269696414470673,0.2009018212556839,0.0017951428890228271,0.0017951428890228271,0.0,0.0
30,4,46,non_tail,1,1.2317734956741333,1.2205699682235718,0.011203527450561523,0.011203527450561523,0.0,0.0
30,4,65,non_tail,1,4.987414360046387,4.96155309677124,0.025861263275146484,0.025861263275146484,0.0,0.0
30,4,92,tail,1,4.715941429138184,4.735635757446289,-0.01969432830810547,0.0,0.01969432830810547,0.0
30,4,97,tail,1,3.877566337585449,3.8863918781280518,-0.008825540542602539,0.0,0.008825540542602539,0.0
30,6,1,non_tail,1,0.0592428594827652,0.059475064277648926,-0.00023220479488372803,0.0,0.00023220479488372803,0.0
